baseline_id,pdf_section,pdf_page,latex_label,item_kind,ancestor_2016,evidence_status,source_edition,current_support_limitation,target_claim_id,final_artifact_id,disposition
b26-fig-3.1,3.6,24,fig:group-isocost,figure-schematic,fig:groupisocost,source-authored-schematic,rewrite-2026,"Analytic iso-cost surfaces for L2 / plane-plus-axis / factorial penalties; illustrative, not an experiment output",C3-H1,ch3-iso-cost,modernize
b26-fig-3.2,3.6,25,fig:group-toy,figure-empirical,fig:toydata,historical,rewrite-2026,"Toy plane-vs-axis recovery shown qualitatively; no multi-seed distribution or recovery metric (evidencenote 3.6)",C3-H1,ch3-toy-recovery,reimplement
b26-tab-3.1,3.7.1,26,tab:denoising-results,table-empirical,tab:denoising_snr,historical,rewrite-2026,"Fully learned model has highest reported output SNR at 0/3/6 dB; single run, no seed uncertainty, no matched-capacity baseline",C3-H3,ch3-denoising,modernize
b26-fig-3.3,3.7.1,26,fig:group-denoising-examples,figure-empirical,fig:denoising_eg,historical,rewrite-2026,"Visual denoising examples at 3 dB; differences among sparse outputs small; grayscale whitened patches not comparable to RGB benchmarks",C3-H3,ch3-color-denoising-examples,modernize
b26-fig-3.4,3.7.2,27,fig:group-bases,figure-empirical,fig:basis,historical,rewrite-2026,"Localized oriented dictionary atoms; diagonal model also yields Gabor-like atoms, so not unique to group learning",C3-H2,ch3-color-bases,modernize
b26-fig-3.5,3.7.2,27,fig:group-examples,figure-empirical,fig:group_eg,historical,rewrite-2026,"32 of 256 groups selected; grouping appears structured but selection/confirmation bias untested; no null comparison",C3-H2,ch3-group-examples,modernize
b26-fig-3.6,3.7.2,28,fig:group-all,figure-empirical,fig:group_structure,historical,rewrite-2026,"All-group map from Gabor fits and thresholded weights; qualitative organization by position/orientation/scale",C3-H2,ch3-group-map,modernize
b26-tab-3.2,3.7.2,29,tab:group-statistics,table-empirical,tab:group_stat,historical,rewrite-2026,"Thresholded graph stats; deviations are within-matrix variation not seeds; sensitive to 0.1-times-row-max threshold",C3-H2,ch3-group-statistics,modernize
b26-fig-3.7,3.8,30,fig:group-wiring-map,figure-empirical,fig:minwire,historical,rewrite-2026,"One optimized 2D layout displayed; does not establish uniqueness or anatomical correspondence",C3-H5,ch3-wiring-embedding,modernize
b26-fig-3.8,3.8,30,fig:group-wiring-dimension,figure-empirical,fig:minwire_vs_d,historical,rewrite-2026,"Wiring cost flattens near dimension two; no repeated starts, uncertainty, or null-graph curves",C3-H5,ch3-wiring-dimension,modernize
b26-fig-4.1,4.6.2,36,fig:grid-schematic,figure-schematic,fig:example_grid,source-authored-schematic,rewrite-2026,"Illustrative triangular-lattice grid schematic; simulated code is 1D periodic, not a 2D triangular grid",C4-H5,ch4-grid-schematic,replace
b26-fig-4.2,4.7.1,37,fig:attractor-weights,figure-empirical,fig:kz/weights,historical,rewrite-2026,"Symmetric near-diagonal + antisymmetric off-diagonal structure; larger periodic A magnitude does NOT imply deeper basin",C4-H1,ch4-weights,reimplement
b26-fig-4.3,4.7.2,38,fig:attractor-write,figure-empirical,fig:kz/write_eg,historical,rewrite-2026,"Write trajectories converge to supplied code; no decoded-vs-target overlay or convergence rate",C4-H1,ch4-operations,reimplement
b26-fig-4.4,4.7.2,39,fig:attractor-hold,figure-empirical,fig:kz/hold_eg,historical,rewrite-2026,"Hold trajectories stay near localized bump over shown interval; drift not quantified over seeds",C4-H1,ch4-operations,reimplement
b26-fig-4.5,4.7.2,40,fig:attractor-move,figure-empirical,fig:kz/move_eg,historical,rewrite-2026,"Velocity input translates place bump and advances ring phase; no path-integration error curve",C4-H1,ch4-operations,reimplement
b26-fig-4.6,4.7.3,40,fig:attractor-random-noise,figure-empirical,fig:kz/x2err_vs_nsteps,historical,rewrite-2026,"Selected 32:32 freq-7 mixed code lower error than place-only under random noise; same figure searches AND displays, so exploratory; no CIs or selection split; only neuron count matched",C4-H2,ch4-random-noise,modernize
b26-fig-4.7,4.7.4,41,fig:attractor-fixed-perturbation,figure-empirical,fig:kz/x2err_vs_sigma,historical,rewrite-2026,"Mixed code lower error only for small fixed perturbations; no general dominance; perturbation mixes symmetric+antisymmetric parts",C4-H2,ch4-fixed-perturbation,modernize
b26-fig-4.8,4.7.5,42,fig:attractor-fixed-points,figure-empirical,fig:kz/step_eg,historical,rewrite-2026,"Staircase input-output map indicates discrete fixed points; finer steps in mixed example; basin radius/contraction NOT measured",C4-H3,ch4-basin-structure,modernize
b26-tab-2.1,2.1,16,tab:notation-core,table-notation,new-in-2026,source-authored-notation,rewrite-2026,"Core notation table; not an experiment output; needs stable ID and provenance but not regeneration",none,ch2-notation-core,retain
b26-tab-2.2,2.7,20,tab:framework-comparison,table-conceptual,new-in-2026,source-authored-conceptual,rewrite-2026,"Corruption-restoration template comparison; conceptual, no numbers to regenerate",none,ch2-framework-comparison,retain
b26-tab-5.1,5.3,45,tab:synthesis-comparison,table-conceptual,new-in-2026,source-authored-conceptual,rewrite-2026,"Evidence-calibrated comparison of the two studies; conceptual synthesis table",none,ch5-synthesis-comparison,retain
b26-tab-C,appendix C,47,tab:attractor-training-config,table-config,"appendix (2016 attractor config)",source-authored-config,rewrite-2026,"Attractor training configuration record; must be regenerated from frozen configs once code exists",C4-H1,ch4-attractor-config,modernize
b26-app-A,appendix A,49,eq:lambda-likelihood-gradient,derivation,"chap2 ML gradient (2016)",mathematical-clarification,rewrite-2026,"Full maximum-likelihood group-weight gradient with restored 1/2 factor; positive/negative phase form; derivation only",C3-H1,ch3-ml-gradient-derivation,retain
b26-app-B,appendix B,49,app:image-preprocessing,derivation,"appendix (2016 preprocessing)",historical,rewrite-2026,"van Hateren identifiers + preprocessing pipeline; grayscale, to be replaced by public color data cards; boundary/precision unspecified",C3-H2,ch3-data-card,replace
b26-app-C,appendix C,47,app:attractor-training,derivation,"appendix (2016 attractor details)",historical,rewrite-2026,"Attractor training details; several noise-scaling/decoder conventions unresolved and flagged for definition",C4-H1,ch4-attractor-config,modernize
b26-claim-C1,1.5,14,sec:intro-contributions,claim,"chap1 contribution (2016)",mathematical-clarification,rewrite-2026,"C1: group-structure learning formulated as differentiation of a denoising objective through finite sparse inference",C3-H1,none,retain
b26-claim-C2,1.5,14,sec:intro-contributions,claim,"chap2 natural-image result (2016)",historical,rewrite-2026,"C2: learned overlapping groups capture position/orientation/scale dependencies with modest denoising advantage in tested setup",C3-H2,none,modernize
b26-claim-C3,1.5,14,sec:intro-contributions,claim,"chap3 attractor result (2016)",historical,rewrite-2026,"C3: recurrent location memory with restoration + velocity transport trainable under injected state/weight perturbations for prescribed 1D codes",C4-H1,none,reimplement
b26-claim-C4,1.5,14,sec:intro-contributions,claim,"chap3 place-grid comparison (2016)",historical,rewrite-2026,"C4: conditional place-only vs mixed place-periodic comparison; finer fixed-point spacing in selected mixed example; controls still required",C4-H2,none,modernize
b26-claim-thesis,1.1;5.1,12,sec:intro-problem,claim,"chap1 thesis (2016)",mathematical-clarification,rewrite-2026,"Central thesis: corruption-restoration objective reveals dependencies and can train restoring dynamics; transport is a separate operation from restoration",none,none,retain
b26-corr-gabor,3.7.2,28,eq:corrected-gabor,math-correction,"chap2 Gabor eq (2016)",mathematical-clarification,rewrite-2026,"Gabor Gaussian envelope requires negative quadratic exponent; corrected from 2016 form that grew away from center",C3-H2,ch3-color-bases,retain
b26-corr-group-grad,3.3.1,22,eq:group-coefficient-gradient,math-correction,"chap2 inference (2016)",mathematical-clarification,rewrite-2026,"Group-penalty derivative is a signed gradient, not a nonnegative adaptive soft threshold; legacy vs corrected inference variants needed",C3-H1,none,retain
b26-corr-ml-half,3.4,23,eq:lambda-likelihood-gradient,math-correction,"chap2 ML gradient (2016)",mathematical-clarification,rewrite-2026,"1/2 factor from differentiating the square root belongs in the equality; absorbable only into a proportional learning rate",C3-H1,ch3-ml-gradient-derivation,retain
b26-corr-recurrence,4.4,33,eq:attractor-discrete,math-correction,"chap3 dynamics (2016)",mathematical-clarification,rewrite-2026,"First-order update uses Delta t/tau, not absolute t; noise-scaling convention with Delta t/tau unresolved and flagged",C4-H1,none,retain
b26-corr-energy,4.7.1;2.6,37,eq:attractor-effective-weight,math-correction,"chap3 energy-landscape framing (2016)",mathematical-clarification,rewrite-2026,"Antisymmetric transport component does not define/deepen a scalar energy; use fixed-point/basin language; robustness must be measured not inferred from weight magnitude",C4-H3,none,retain
b26-future-2d,4.9;5.6.5,42,sec:attractor-extensions,proposed-test,new-in-2026,proposed-test,rewrite-2026,"Multi-module 1D and 2D toroidal grid + path integration proposed but not implemented; stated as future work",C4-H4,ch4-2d-path-integration,modernize
b26-future-color,3.9;5.6.5,29,sec:group-discussion,proposed-test,new-in-2026,proposed-test,rewrite-2026,"Public color-image study with separate whitened representation and RGB denoising tracks proposed; not in 2026 edition",C3-H2;C3-H3,ch3-color-bases;ch3-denoising,modernize
b26-future-recovery,3.6;5.6.2,24,sec:group-toy,proposed-test,new-in-2026,proposed-test,rewrite-2026,"Quantitative multi-seed group recovery on synthetic data with permutation-invariant metric proposed",C3-H1,ch3-toy-recovery,modernize
b26-future-fairness,4.10;5.6.3,43,sec:attractor-discussion,proposed-test,new-in-2026,proposed-test,rewrite-2026,"Budget-matched place-vs-grid comparison (activity, weight norm, decoder, compute, selection split) proposed; core to a valid C4 claim",C4-H2,ch4-random-noise;ch4-fixed-perturbation,modernize
b26-future-basin,4.7.5;5.6.4,42,sec:attractor-interpretation,proposed-test,new-in-2026,proposed-test,rewrite-2026,"Direct basin geometry (radius, contraction spectra, escape probability, aliasing tails) measurement proposed",C4-H3;C4-H5,ch4-basin-structure,modernize
