topic,citation,year,primary contribution,evidence type,relation to revision,intended section
Denoising and score interpretation,"Alain and Bengio, What Regularized Auto-Encoders Learn from the Data-Generating Distribution",2014,"Shows that the reconstruction displacement of a regularized autoencoder estimates a density score under stated limits",Theory,"Bounds the manifold/vector-field interpretation used by both studies",Chapter 2
Score-based generative modeling,"Song and Ermon, Generative Modeling by Estimating Gradients of the Data Distribution",2019,"Uses noise-conditional score estimation and annealed Langevin dynamics for generative modeling",Method and experiments,"Places the denoising intuition in the score-modeling lineage without claiming equivalence",Chapters 2 and 5
Learned iterative inference,"Gregor and LeCun, Learning Fast Approximations of Sparse Coding",2010,"Learns a fixed-depth sparse-inference network inspired by iterative optimization",Method and experiments,"Clarifies algorithm unrolling and differentiation through finite inference",Chapters 2 and 3
Overlapping structured sparsity,"Mairal et al., Convex and Network Flow Optimization for Structured Sparsity",2011,"Develops scalable optimization for general overlapping group penalties",Optimization theory and experiments,"Provides context for overlapping group structure and proximal inference",Chapter 3
Hierarchical sparse coding,"Jenatton et al., Proximal Methods for Hierarchical Sparse Coding",2011,"Develops exact proximal methods for tree-structured sparse coding",Optimization theory and experiments,"Separates prescribed structure from learned group membership",Chapter 3
Learned image denoising,"Zhang et al., Beyond a Gaussian Denoiser",2017,"Introduces residual CNN denoising across noise settings",Method and image benchmarks,"Shows why the patch-SNR comparison is not a modern denoising benchmark",Chapter 3
Weakly supervised denoising,"Lehtinen et al., Noise2Noise",2018,"Shows that image restoration can be learned from paired corrupted observations under statistical assumptions",Theory and image experiments,"Broadens the distinction between denoising as an evaluation task and as a learning signal",Chapters 2 and 3
Grid-code error correction,"Sreenivasan and Fiete, Grid Cells Generate an Analog Error-Correcting Code",2011,"Analyzes the precision and noise robustness of periodic population codes",Theory and simulation,"Primary predecessor for the analog error-correction framing",Chapter 4
Efficient modular grid codes,"Wei, Prentice, and Balasubramanian, A Principle of Economy Predicts the Functional Architecture of Grid Cells",2015,"Derives grid lattice and module-scale predictions from neuron economy",Theory,"Adds a principled multi-module comparison absent from the one-module model",Chapter 4
Multi-scale decoding,"Stemmler, Mathis, and Herz, Connecting Multiple Spatial Scales to Decode the Population Activity of Grid Cells",2015,"Develops population-vector decoding across noisy grid modules",Theory and simulation,"Clarifies why multiple modules resolve periodic ambiguity",Chapter 4
Attractor evidence,"Yoon et al., Specific Evidence of Low-Dimensional Continuous Attractor Dynamics in Grid Cells",2013,"Finds low-dimensional population constraints consistent with continuous-attractor dynamics",Neural recordings and analysis,"Separates biological evidence from model assumption",Chapter 4
Learned navigation representations,"Cueva and Wei, Emergence of Grid-Like Representations by Training Recurrent Neural Networks",2018,"Trains recurrent networks for 2D localization and observes grid-like response patterns",Simulation,"Shows a later route toward learning rather than prescribing spatial codes",Chapters 4 and 5
Artificial-agent navigation,"Banino et al., Vector-Based Navigation Using Grid-Like Representations in Artificial Agents",2018,"Finds grid-like units in trained navigation agents and tests their role in vector navigation",Simulation and ablation,"Connects trained spatial representations to navigation behavior",Chapters 4 and 5
Toroidal population manifold,"Gardner et al., Toroidal Topology of Population Activity in Grid Cells",2022,"Demonstrates toroidal topology in large simultaneously recorded grid-cell populations",Neural recordings and topological analysis,"Provides direct evidence relevant to the manifold/attractor framing",Chapters 4 and 5
