chapter,original label,source file/page,scientific claim,known inputs,known hyperparameters,historical output path,original-code status,planned replacement experiment,planned generator command,verification status
1,fig:example_basis,"chap1.tex; thesis p. 5","Sparse coding on natural-image patches yields localized oriented basis functions resembling simple-cell receptive fields.","Natural-image patches; exact source inherited from Chapter 2 figure set","Not stated in Chapter 1",legacy/dissertation-2016/source/images/basis_sc_3dB.png,missing,"Retain only as a historical orientation figure; replace with a generated basis atlas after reimplementation",unavailable,historical asset present
1,fig:example_grid,"chap1.tex; thesis p. 7","A grid-cell spatial firing field contains repeated fields on an approximately triangular lattice.","Schematic illustration","Not applicable",legacy/dissertation-2016/source/images/kz/example_grid.png,missing,"Replace or clearly label as a schematic with a primary biological citation",unavailable,historical asset present
2,fig:groupisocost,"chap2.tex:171; thesis p. 15","Different group matrices induce spherical, grouped, or factorial iso-cost geometry.","Analytic three-dimensional toy penalties","Three hand-specified 3x3 group matrices",legacy/dissertation-2016/source/images/groupisocost.pdf,missing,"Regenerate corrected vector surfaces from the stated equations",make figure ID=ch3-iso-cost,historical asset present
2,fig:toydata,"chap2.tex:194; thesis p. 16","The denoising-trained model qualitatively recovers the toy distribution's plane-versus-axis grouping.","Synthetic points on the xy-plane or z-axis","N=M=K=3; norm sampled from a standard 3D Gaussian",legacy/dissertation-2016/source/images/toydata.png,missing,"Run multi-seed toy recovery and report a quantitative group-recovery score",make figure ID=ch3-toy-recovery,historical asset present
2,toy learned matrices,"chap2.tex:205-218; thesis p. 16","The learned dictionary separates the z-axis from the xy-plane and the learned group matrix couples the two planar atoms.","Same toy dataset as fig:toydata","Single reported learned Phi and Lambda matrices",legacy/dissertation-2016/source/chap2.tex,missing,"Generate matrices and recovery statistics from frozen synthetic runs",make table ID=ch3-toy-recovery,historical values present in TeX
2,tab:denoising_snr,"chap2.tex:235; thesis p. 17","For each of three historical corruption levels, the fully learned group model has the highest reported patch-output SNR among the six compared models.","Whitened 16x16 van Hateren patches; 35 training and 35 test images","N=M=K=256; input SNR 0/3/6 dB; 150 inference steps; one historical run",legacy/dissertation-2016/source/chap2.tex,missing,"Paired multi-seed public-color-data comparison with uncertainty and matched compute",make table ID=ch3-denoising,historical values present in TeX
2,fig:denoising_eg,"chap2.tex:262; thesis p. 18","Historical examples show visually similar outputs for learned-group, fixed-topographic, and diagonal sparse models at 3 dB input SNR.","Randomly selected test patches and one stored corruption","Input SNR 3 dB",legacy/dissertation-2016/source/images/denoising_eg_3dB.png,missing,"Generate fixed public-image crops and corruption from a recorded seed",make figure ID=ch3-color-denoising-examples,historical asset present
2,fig:basis,"chap2.tex:276; thesis p. 19","Dictionaries learned by sparse variants contain localized oriented filters; the fixed 3x3 model is topographically ordered.","Whitened natural-image patches","Input SNR 3 dB; one historical run",legacy/dissertation-2016/source/images/basis3dB.png,missing,"Generate color/opponent basis atlases across matched multi-seed models",make figure ID=ch3-color-bases,historical asset present
2,fig:group_eg,"chap2.tex:286; thesis p. 20","A random subset of learned groups appears to combine atoms with similar position, orientation, and spatial frequency.","Learned dictionary and group matrix","32 of 256 groups; membership threshold 0.1 times row maximum; input SNR 3 dB",legacy/dissertation-2016/source/images/groupeg3dB.png,missing,"Choose groups by a fixed auditable rule and quantify within-group similarity",make figure ID=ch3-group-examples,historical asset present
2,fig:group_structure,"chap2.tex:308; thesis p. 21","The full learned group map qualitatively organizes atoms by position, orientation, and spatial size.","Gabor fits to learned atoms and thresholded group weights","Membership threshold 0.1 times row maximum; input SNR 3 dB",legacy/dissertation-2016/source/images/groupstructure3dB.pdf,missing,"Generate a weighted group map with fit diagnostics and color-feature annotations",make figure ID=ch3-group-map,historical asset present
